customerID,tenure,monthlyCharges,totalCharges,contract,internetService,churn
CUST_1,35,74.14,2594.9,Two year,DSL,No
CUST_2,12,25.3,303.6,Month-to-month,No,Yes
CUST_3,1,20.43,20.43,Month-to-month,No,Yes
CUST_4,32,108.01,3456.32,Two year,No,No
CUST_5,15,95.08,1426.2,One year,DSL,No
CUST_6,2,49.46,98.92,Month-to-month,Fiber optic,No
CUST_7,43,37.06,1593.58,Two year,DSL,No
CUST_8,52,61.89,3218.28,Two year,DSL,No
CUST_9,37,72.76,2692.12,Two year,Fiber optic,No
CUST_10,2,23.4,46.8,Month-to-month,DSL,Yes
CUST_11,7,89.21,624.47,Month-to-month,DSL,Yes
CUST_12,48,33.8,1622.4,Two year,DSL,No
CUST_13,48,23.43,1124.64,Two year,DSL,No
CUST_14,12,65.47,785.64,Month-to-month,Fiber optic,Yes
CUST_15,50,48.27,2413.5,Two year,Fiber optic,Yes
CUST_16,43,33.29,1431.47,Two year,No,No
CUST_17,34,111.7,3797.8,Two year,DSL,No
CUST_18,18,113.11,2035.98,One year,DSL,No
CUST_19,72,35.92,2586.24,Two year,Fiber optic,Yes
CUST_20,1,94.32,94.32,Month-to-month,Fiber optic,No
CUST_21,5,28.99,144.95,Month-to-month,DSL,No
CUST_22,31,33.69,1044.39,Two year,No,No
CUST_23,14,81.39,1139.46,One year,DSL,No
CUST_24,56,41.38,2317.28,Two year,No,No
CUST_25,43,41.58,1787.94,Two year,Fiber optic,No
CUST_26,22,32.6,717.2,One year,Fiber optic,Yes
CUST_27,12,35.38,424.56,Month-to-month,DSL,Yes
CUST_28,42,59.92,2516.64,Two year,Fiber optic,No
CUST_29,5,92.86,464.3,Month-to-month,DSL,Yes
CUST_30,48,61.98,2975.04,Two year,Fiber optic,Yes
CUST_31,51,68.9,3513.9,Two year,Fiber optic,No
CUST_32,36,31.03,1117.08,Two year,DSL,No
CUST_33,10,85.89,858.9,Month-to-month,DSL,Yes
CUST_34,13,65.88,856.44,One year,DSL,Yes
CUST_35,57,113.93,6494.01,Two year,DSL,No
CUST_36,31,97.27,3015.37,Two year,DSL,No
CUST_37,46,78.48,3610.08,Two year,No,No
CUST_38,63,24.83,1564.29,Two year,No,No
CUST_39,31,85.82,2660.42,Two year,No,No
CUST_40,24,112.31,2695.44,One year,Fiber optic,Yes
CUST_41,47,84.68,3979.96,Two year,No,No
CUST_42,30,114.25,3427.5,Two year,Fiber optic,No
CUST_43,7,88.38,618.66,Month-to-month,Fiber optic,Yes
CUST_44,66,39.94,2636.04,Two year,No,Yes
CUST_45,45,107.74,4848.3,Two year,DSL,No
CUST_46,45,86.91,3910.95,Two year,Fiber optic,No
CUST_47,51,73.42,3744.42,Two year,No,No
CUST_48,67,78.45,5256.15,Two year,DSL,No
CUST_49,57,104.06,5931.42,Two year,Fiber optic,No
CUST_50,51,44.64,2276.64,Two year,DSL,Yes
CUST_51,21,51.65,1084.65,One year,No,No
CUST_52,19,64.8,1231.2,One year,DSL,No
CUST_53,17,112.78,1917.26,One year,DSL,Yes
CUST_54,6,58.78,352.68,Month-to-month,Fiber optic,No
CUST_55,26,36.96,960.96,Two year,DSL,No
CUST_56,8,48.77,390.16,Month-to-month,No,Yes
CUST_57,57,112.38,6405.66,Two year,DSL,Yes
CUST_58,21,27.39,575.19,One year,DSL,No
CUST_59,9,111.38,1002.42,Month-to-month,Fiber optic,No
CUST_60,31,22.27,690.37,Two year,Fiber optic,No
CUST_61,49,51.51,2523.99,Two year,Fiber optic,No
CUST_62,48,105.71,5074.08,Two year,No,No
CUST_63,65,54.99,3574.35,Two year,Fiber optic,No
CUST_64,41,85.71,3514.11,Two year,DSL,Yes
CUST_65,48,64.02,3072.96,Two year,Fiber optic,No

